Dataset Name,Dataset Schema Version,Virtual Folder Name,Datasource URI,Column Name,Column Value Sequence,Column Frequency_Value,Frequency_Count
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,amrt_mnths,1,,9500
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,amrt_type,1,FRM,9499
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,amrt_type,2,25,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,1,765,228
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,2,781,196
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,3,801,183
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,4,762,183
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,5,776,173
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,6,786,171
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,7,790,170
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,8,808,157
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,9,792,156
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,10,766,148
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,11,753,140
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,12,750,139
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,13,783,132
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,14,773,130
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,15,746,128
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,16,791,123
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,17,797,119
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,18,794,116
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,19,798,116
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,20,780,115
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,channel,1,R,6625
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,channel,2,C,1606
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,channel,3,B,1269
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,1,776,177
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,2,765,120
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,3,793,108
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,4,786,107
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,5,726,103
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,6,709,96
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,7,801,95
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,8,778,93
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,9,794,92
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,10,690,91
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,11,770,89
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,12,686,81
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,13,812,81
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,14,773,79
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,15,809,75
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,16,802,71
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,17,799,70
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,18,787,69
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,19,752,66
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,20,817,65
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,1,0,9179
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,2,1,118
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,3,2,27
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,4,4,24
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,5,3,18
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,6,7,14
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,7,6,14
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,8,5,12
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,9,8,9
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,10,,9
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,11,10,6
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,12,14,5
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,13,23,4
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,14,11,4
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,15,12,4
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,16,16,4
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,17,9,4
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,18,29,3
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,19,30,3
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,20,26,3
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,1,3.375,463
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,2,2.875,429
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,3,3.125,409
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,4,3,382
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,5,4.25,344
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,6,3.75,333
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,7,3.625,330
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,8,3.5,327
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,9,3.25,327
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,10,2.625,327
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,11,2.99,273
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,12,3.99,251
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,13,6.625,235
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,14,2.75,234
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,15,4.125,233
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,16,4.875,224
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,17,5.25,222
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,18,4.5,195
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,19,4,171
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,20,5.125,168
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_schedule_prinicipal,1,,9500
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,1,0,315
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,2,668378.84,23
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,3,213000,20
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,4,212355.78,20
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,5,231000,20
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,6,150000,19
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,7,230000,17
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,8,170000,17
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,9,243000,16
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,10,225000,16
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,11,167000,16
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,12,244000,16
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,13,172000,15
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,14,120000,15
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,15,190000,15
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,16,200000,15
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,17,212000,15
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,18,105000,15
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,19,168000,15
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_upb,20,428888.59,15
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,1,45,612
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,2,38,462
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,3,41,422
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,4,43,413
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,5,48,388
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,6,39,375
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,7,35,375
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,8,30,343
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,9,34,340
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,10,40,335
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,11,44,335
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,12,36,314
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,13,25,306
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,14,26,303
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,15,49,301
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,16,50,298
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,17,37,266
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,18,42,266
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,19,27,256
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,20,46,252
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,1,100055655278,55
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,2,100044621909,55
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,3,100024483476,55
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,4,100041001274,55
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,5,100012992893,54
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,6,100023941111,52
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,7,100001140856,52
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,8,100012060028,52
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,9,97473078,51
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,10,97473068,51
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,11,97473070,51
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,12,100056007804,51
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,13,97473075,51
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,14,97473065,51
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,15,97473062,51
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,16,98146724,48
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,17,98146728,48
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,18,98146741,48
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,19,98146726,48
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,20,100021299215,47
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_hb_indicator,1,N,6513
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_hb_indicator,2,Y,2986
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_hb_indicator,3,722,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,1,112019,381
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,2,82019,375
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,3,112021,339
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,4,82021,311
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,5,112020,303
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,6,82023,300
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,7,22023,300
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,8,52023,295
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,9,82020,291
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,10,32021,288
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,11,22021,286
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,12,22020,275
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,13,52020,269
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,14,112022,265
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,15,82022,250
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,16,22022,248
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,17,72019,242
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,18,62022,229
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,19,122020,227
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,20,62019,225
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,IO_ind,1,N,9500
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,IO_int_pay_dt,1,,9499
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,IO_int_pay_dt,2,N,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,1,1,630
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,2,2,602
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,3,0,512
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,4,3,508
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,5,4,485
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,6,5,463
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,7,6,410
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,8,7,383
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,9,8,376
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,10,9,336
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,11,10,318
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,12,11,297
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,13,12,268
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,14,13,255
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,15,14,242
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,16,15,221
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,17,16,210
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,18,17,192
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,19,18,178
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,20,19,174
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_purpose,1,P,5138
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_purpose,2,R,2615
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_purpose,3,C,1746
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_purpose,4,Y,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,master_servicer,1,,9500
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,1,72049,386
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,2,102049,372
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,3,102050,279
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,4,72053,273
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,5,12053,272
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,6,42053,272
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,7,12050,259
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,8,22051,258
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,9,72051,255
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,10,102051,240
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,11,62049,237
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,12,112050,226
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,13,42035,225
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,14,102052,214
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,15,12051,209
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,16,72052,206
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,17,52052,192
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,18,52049,192
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,19,72050,190
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,20,12052,185
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mod_flag,1,N,9376
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mod_flag,2,,103
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mod_flag,3,Y,21
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_cancel_indicator,1,,9500
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,1,,5365
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,2,25,1685
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,3,30,1228
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,4,12,894
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,5,35,303
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,6,16,21
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,7,18,3
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mort_ins_per,8,844,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,1,35620,815
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,2,0,555
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,3,42660,384
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,4,16980,367
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,5,31080,339
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,6,12060,289
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,7,19100,286
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,8,26420,285
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,9,40140,250
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,10,14460,250
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,11,17140,234
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,12,33100,189
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,msa,13,29820,181
